"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 115건","","","","195,569","","",""
"1","청주","나라현","2018-03-20","216","불검출","불검출","적합"
"2","혼합장","나가노현","2018-04-10","13,000","불검출","불검출","적합"
"3","빵류","기후현","2018-04-13","2,117","불검출","불검출","적합"
"4","복합조미식품","니가타현","2018-03-20","926","불검출","불검출","적합"
"5","복합조미식품","니가타현","2017-12-28","96","불검출","불검출","적합"
"6","카레(커리)","니가타현","2018-02-07","360","불검출","불검출","적합"
"7","소스","도치기현","2018-02-06","119","불검출","불검출","적합"
"8","캔디류","아이치현","2018-03-27","14","불검출","불검출","적합"
"9","카레(커리)","시즈오카현","2018-02-16","28","불검출","불검출","적합"
"10","카레(커리)","시즈오카현","2018-02-05","28","불검출","불검출","적합"
"11","혼합장","나가노현","2018-04-02","7,000","불검출","불검출","적합"
"12","카레(커리)","니가타현","2018-02-27","3,168","불검출","불검출","적합"
"13","향신료조제품","사이타마현","2018-03-07","215","불검출","불검출","적합"
