"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","","-","-","82,134","-","-","-"
"1","활장어 먹장어
(
)","나가사키현","2016-04-19","1,241","불검출","불검출","적합"
"2","활가리비","홋카이도","2016-04-19","7,100","불검출","불검출","적합"
"3","활가리비","홋카이도","2016-04-19","14,040","불검출","불검출","적합"
"4","활돔 돌돔(
)","와카야마현","2016-04-19","164","불검출","불검출","적합"
"5","냉동다랑어
(
남방참다랑어
)","인도양","2016-04-19","10,314","불검출","불검출","적합"
"6","활장어 먹장어
(
)","야마구치현","2016-04-19","2,411","불검출","불검출","적합"
"7","냉장갈치","와카야마현","2016-04-19","1,696","불검출","불검출","적합"
"8","냉장갈치","히로시마현","2016-04-19","985","불검출","불검출","적합"
"9","냉장갈치","와카야마현","2016-04-19","992","불검출","불검출","적합"
"10","냉장명태","홋카이도","2016-04-19","2,412","불검출","불검출","적합"
"11","냉장홍어","홋카이도","2016-04-19","3,699","불검출","불검출","적합"
"12","냉장명태","홋카이도","2016-04-19","3,646","불검출","불검출","적합"
"13","냉장갈치","와카야마현","2016-04-19","3,360","불검출","불검출","적합"
"14","냉장홍어","홋카이도","2016-04-19","3,731","불검출","불검출","적합"
"15","냉장갈치","에히메현","2016-04-19","368","불검출","불검출","적합"
"16","냉장갈치","와카야마현","2016-04-19","1,040","불검출","불검출","적합"
