"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","","-","-","179,069","-","-","-"
"1","활가리비","홋카이도","2016-04-14","7,040","불검출","불검출","적합"
"2","냉동멸치","나가사키현","2016-04-14","23,085","불검출","불검출","적합"
"3","냉동가리비
(
외투막
)","홋카이도","2016-04-14","21,000","불검출","불검출","적합"
"4","활돔 돌돔(
)","고치현","2016-04-14","765","불검출","불검출","적합"
"5","활장어 먹장어
(
)","나가사키현","2016-04-14","1,009","불검출","불검출","적합"
"6","냉장명태","홋카이도","2016-04-14","1,344","불검출","불검출","적합"
"7","활돔 돌돔(
)","나가사키현","2016-04-14","776","불검출","불검출","적합"
"8","냉장갈치","와카야마현","2016-04-14","2,760","불검출","불검출","적합"
"9","냉장갈치","와카야마현","2016-04-14","4,384","불검출","불검출","적합"
"10","냉장갈치","와카야마현","2016-04-14","1,760","불검출","불검출","적합"
"11","냉장준치","구마모토현","2016-04-14","532","불검출","불검출","적합"
"12","냉장갈치","와카야마현","2016-04-14","680","불검출","불검출","적합"
"13","활돔 벵에돔
(
)","사가현","2016-04-14","1,567","불검출","불검출","적합"
"14","냉장명태","홋카이도","2016-04-14","1,590","불검출","불검출","적합"
"15","냉장명태","홋카이도","2016-04-14","3,496","불검출","불검출","적합"
"16","냉장갈치","와카야마현","2016-04-14","6,048","불검출","불검출","적합"
