"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"17","냉장명태","홋카이도","2016-04-15","3,096","불검출","불검출","적합"
"18","냉장갈치","후쿠오카현","2016-04-15","432","불검출","불검출","적합"
"19","냉장명태","홋카이도","2016-04-15","1,800","불검출","불검출","적합"
"20","냉장명태","홋카이도","2016-04-15","2,400","불검출","불검출","적합"
"21","냉장명태","홋카이도","2016-04-15","1,140","불검출","불검출","적합"
"22","냉장명태","홋카이도","2016-04-15","2,400","불검출","불검출","적합"
"23","활가리비","홋카이도","2016-04-15","6,983","불검출","불검출","적합"
"24","냉장명태","홋카이도","2016-04-15","2,400","불검출","불검출","적합"
"25","냉장대구","홋카이도","2016-04-15","130","불검출","불검출","적합"
"26","냉장명태","홋카이도","2016-04-15","1,130","불검출","불검출","적합"
"27","냉장명태","홋카이도","2016-04-15","2,400","불검출","불검출","적합"
"28","냉장대구","홋카이도","2016-04-15","140","불검출","불검출","적합"
"29","냉장홍어","홋카이도","2016-04-15","1,005","불검출","불검출","적합"
"30","냉장홍어","홋카이도","2016-04-15","2,929","불검출","불검출","적합"
"31","냉장명태","홋카이도","2016-04-15","2,292","불검출","불검출","적합"
"32","냉장가오리","에히메현","2016-04-15","450","불검출","불검출","적합"
"33","냉장갈치","히로시마현","2016-04-15","305","불검출","불검출","적합"
"34","활장어 먹장어
(
)","나가사키현","2016-04-15","2,605","불검출","불검출","적합"
