"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"1","냉동대구","러시아","2018-11-22","13,480","적합","적합","적합"
"2","마른명태(껍질)","러시아","2018-11-22","1,890","적합","적합","적합"
"3","마른상어(청새리상어,지느러미)","중국(홍콩)","2018-11-22","61","적합","적합","적합"
"4","냉동대구(목살)","러시아","2018-11-22","2,210","적합","적합","적합"
"5","냉동가자미","러시아","2018-11-22","3,999","적합","적합","적합"
"6","냉동꽁치","대만","2018-11-22","22,360","적합","적합","적합"
"7","냉동꽁치","대만","2018-11-22","10,801","적합","적합","적합"
"8","냉동꽁치","대만","2018-11-22","22,950","적합","적합","적합"
"9","냉동명태(F)","러시아","2018-11-22","100,136","적합","적합","적합"
"10","냉동내장(창난)","미국","2018-11-22","6,930","적합","적합","적합"
"11","냉동명태(F)","미국","2018-11-22","24,000","적합","적합","적합"
"합계","","-","-","208,817","-","-","-"
