"순번","품목명","제조·생산지","제조일자
(유통기한)","수입
중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"113","가공두부","나가노현","2018-09-26","6,930","불검출","불검출","적합"
"114","밀크초콜릿","훗카이도","2018-10-25","150","불검출","불검출","적합"
"115","밀크초콜릿","훗카이도","2018-10-25","105","불검출","불검출","적합"
"116","화이트초콜릿","훗카이도","2018-10-25","120","불검출","불검출","적합"
"117","화이트초콜릿","훗카이도","2018-10-25","90","불검출","불검출","적합"
"118","밀크초콜릿","훗카이도","2018-10-25","300","불검출","불검출","적합"
"119","밀크초콜릿","훗카이도","2018-10-25","98","불검출","불검출","적합"
"120","화이트초콜릿","훗카이도","2018-10-25","300","불검출","불검출","적합"
"121","밀크초콜릿","훗카이도","2018-10-25","1,020","불검출","불검출","적합"
"122","초콜릿가공품","니가타현","2018-10-19","3,540","불검출","불검출","적합"
"123","볶은커피","오사카부","2018-09-20","2,661","불검출","불검출","적합"
"124","소스","사가현","2018-08-09","6,674","불검출","불검출","적합"
"125","산화마그네슘","도쿠시마현","2018-10-15","500","불검출","불검출","적합"
"126","캔디류","오카야마현","2018-09-15","4,774","불검출","불검출","적합"
"127","맥주","오이타현","2018-10-18","82,800","불검출","불검출","적합"
"128","기타 주류","훗카이도","2018-10-18","33,120","불검출","불검출","적합"
"129","혼합제제","가나가와현","2018-10-23","300","불검출","불검출","적합"
"130","기타천연착향료","효고현","2018-10-22","1,440","불검출","불검출","적합"
"131","캔디류","아이치현","","150","불검출","불검출","적합"
"132","복합조미식품","니가타현","2018-10-10","4,800","불검출","불검출","적합"
"133","과자","니가타현","","104","불검출","불검출","적합"
"134","캔디류","아이치현","2018-10-19","360","불검출","불검출","적합"
"135","기타 주류","훗카이도","2018-10-18","66,240","불검출","불검출","적합"
"136","침출차","시즈오카현","2018-10-12","300","불검출","불검출","적합"
"137","맥주","교토부","2018-10-21","15,872","불검출","불검출","적합"
"138","과자","나가노현","2018-10-12","212","불검출","불검출","적합"
"139","빵류","나가노현","2018-10-12","242","불검출","불검출","적합"
"140","빵류","나가노현","2018-10-12","66","불검출","불검출","적합"
"141","캔디류","도치기현","2018-09-03","3,388","불검출","불검출","적합"
"142","소스","도쿄도","2018-10-19","216","불검출","불검출","적합"
"143","소스","사가현","2018-10-09","355","불검출","불검출","적합"
"144","과자","나가노현","2018-10-12","384","불검출","불검출","적합"
"145","과자","니가타현","2018-10-19","630","불검출","불검출","적합"
