"순번","품목명","제조·생산지","제조일자
(유통기한)","수입
중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"15","과자","나가노현","2019-06-23","264","불검출","불검출","적합"
"16","과자","나가노현","2019-06-23","420","불검출","불검출","적합"
"17","혼합제제","도쿄도","2018-10-22","70","불검출","불검출","적합"
"18","혼합제제","도쿄도","2018-10-17","30","불검출","불검출","적합"
"19","소스","나가사키현","2018-10-05","3,762","불검출","불검출","적합"
"20","소스","나가사키현","2018-09-29","5,855","불검출","불검출","적합"
"21","소스","나가사키현","2018-10-18","1,589","불검출","불검출","적합"
"22","소스","나가사키현","2018-10-19","2,521","불검출","불검출","적합"
"23","소스","나가사키현","2018-09-13","3,884","불검출","불검출","적합"
"24","소스","나가사키현","2018-10-16","2,929","불검출","불검출","적합"
"25","소스","나가사키현","2018-10-13","2,609","불검출","불검출","적합"
"26","카레(커리)","니가타현","2018-08-31","792","불검출","불검출","적합"
"27","캔디류","미에현","2018-10-19","320","불검출","불검출","적합"
"28","카레(커리)","나가노현","2018-08-06","600","불검출","불검출","적합"
"29","향신료조제품","사이타마현","2018-10-10","558","불검출","불검출","적합"
"30","카레(커리)","니가타현","2018-09-08","792","불검출","불검출","적합"
"31","향신료조제품","사이타마현","2018-09-15","258","불검출","불검출","적합"
"32","향신료조제품","사이타마현","2018-08-29","210","불검출","불검출","적합"
"33","청주","니가타현","2018-10-01","2,160","불검출","불검출","적합"
"34","청주","니가타현","2018-10-09","86","불검출","불검출","적합"
"35","청주","니가타현","2018-10-09","22","불검출","불검출","적합"
"36","청주","니가타현","2018-09-25","166","불검출","불검출","적합"
"37","청주","니가타현","2018-09-25","432","불검출","불검출","적합"
"38","청주","니가타현","2018-08-08","950","불검출","불검출","적합"
"39","청주","니가타현","2018-10-10","242","불검출","불검출","적합"
"40","청주","니가타현","2018-09-21","475","불검출","불검출","적합"
"41","청주","니가타현","2018-09-13","238","불검출","불검출","적합"
"42","혼합제제","효고현","2018-10-23","60","불검출","불검출","적합"
"43","혼합제제","효고현","2018-10-26","30","불검출","불검출","적합"
"44","혼합제제","시가현","2018-11-01","75","불검출","불검출","적합"
"45","음료베이스","후쿠오카현","2018-10-29","1,842","불검출","불검출","적합"
"46","혼합제제","시가현","2018-11-02","20","불검출","불검출","적합"
"47","리파아제","시가현","2018-11-02","10","불검출","불검출","적합"
