"순번","품목명","제조·생산지","제조일자
(유통기한)","수입
중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"47","청주","니가타현","2018-10-19","648","불검출","불검출","적합"
"48","청주","니가타현","2018-10-19","518","불검출","불검출","적합"
"49","청주","이바라키현","2018-10-17","518","불검출","불검출","적합"
"50","청주","이바라키현","2018-10-17","2,117","불검출","불검출","적합"
"51","청주","니가타현","2018-10-18","1,598","불검출","불검출","적합"
"52","청주","니가타현","2018-10-18","648","불검출","불검출","적합"
"53","탄산음료","아이치현","2018-09-21","6,720","불검출","불검출","적합"
"54","과자","후쿠오카현","2018-09-20","38","불검출","불검출","적합"
"55","카레(커리)","도치기현","2018-10-05","5,244","불검출","불검출","적합"
"56","카레(커리)","아이치현","2018-10-18","5,400","불검출","불검출","적합"
"57","카레(커리)","나라현","2018-09-08","6,000","불검출","불검출","적합"
"58","소스","효고현","2018-10-25","1,610","불검출","불검출","적합"
"59","기타가공품","시즈오카현","2018-01-08","13,500","불검출","불검출","적합"
"60","향신료조제품","효고현","2018-10-25","400","불검출","불검출","적합"
"61","혼합제제","와카야마현","2018-10-19","60","불검출","불검출","적합"
"62","소스","사이타마현","2018-09-13","5,856","불검출","불검출","적합"
"63","혼합장","나가노현","2018-09-25","7,741","불검출","불검출","적합"
"64","초콜릿가공품","니가타현","2018-10-19","5,912","불검출","불검출","적합"
"65","청국장","도쿄도","","2,437","불검출","불검출","적합"
"66","청국장","도쿄도","","276","불검출","불검출","적합"
"67","청국장","도쿄도","","6,786","불검출","불검출","적합"
"68","청주","교토부","2018-10-04","9,000","불검출","불검출","적합"
"69","청주","교토부","2018-10-19","2,808","불검출","불검출","적합"
"70","소스","히로시마현","2018-10-15","1,800","불검출","불검출","적합"
"71","청주","교토부","2018-10-10","2,592","불검출","불검출","적합"
"72","청주","교토부","2018-10-24","691","불검출","불검출","적합"
"73","청주","교토부","2018-10-17","6,221","불검출","불검출","적합"
"74","청주","교토부","2018-10-23","6,804","불검출","불검출","적합"
"75","소스","도쿠시마현","2018-08-31","108","불검출","불검출","적합"
"76","소스","히로시마현","2018-09-06","360","불검출","불검출","적합"
"77","소스","도치기현","2018-08-10","36","불검출","불검출","적합"
"78","소스","가가와현","2018-09-27","180","불검출","불검출","적합"
"79","소스","군마현","2018-09-25","944","불검출","불검출","적합"
