"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","154건","","187,101","","",""
"1","카레","시즈오카현","2014-09-25","552","불검출","불검출","적합"
"2","청주","돗토리현","2014-10-07","540","불검출","불검출","적합"
"3","청주","돗토리현","2014-10-08","43.2","불검출","불검출","적합"
"4","청주","돗토리현","2014-10-08","129.6","불검출","불검출","적합"
"5","청주","아오모리현","2014-09-30","86.4","불검출","불검출","적합"
"6","청주","아오모리현","2014-09-30","86.4","불검출","불검출","적합"
"7","청주","이와테현","2014-09-16","178.8","불검출","불검출","적합"
"8","청주","이와테현","2014-09-30","138.24","불검출","불검출","적합"
"9","청주","이와테현","2014-09-30","172.8","불검출","불검출","적합"
"10","청주","이와테현","2014-06-05","24","불검출","불검출","적합"
"11","청주","이와테현","2014-09-30","36","불검출","불검출","적합"
"12","과자(비스킷)","효고현","2014-08-26","340","불검출","불검출","적합"
"13","과자(쿠키)","시즈오카현","2014-09-15","65.4","불검출","불검출","적합"
"14","향신료조제품
(겨자가공품)","나가노현","2014-09-01","129","불검출","불검출","적합"
"15","청주","아이치현","2014-09-01","108","불검출","불검출","적합"
"16","위스키","교토부","2014-07-30","810","불검출","불검출","적합"
"17","청주","교토부","2014-08-08","360","불검출","불검출","적합"
