"순 번","품목명","제조·생산지","제조일자","중량(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"99","혼합제제","가나가와현","2014-09-29","2","불검출","불검출","적합"
"100","드레싱","사가현","2014-09-05","456","불검출","불검출","적합"
"101","인스턴트커피","미에현","2014-08-20","240","불검출","불검출","적합"
"102","장류절임","가고시마현","2014-10-06","350","불검출","불검출","적합"
"103","수산물가공품","훗카이도","2014-09-18","200","불검출","불검출","적합"
"104","볶은커피","효고현","2014-08-19","252","불검출","불검출","적합"
"105","혼합제제","오카야마현","2014-09-30","510","불검출","불검출","적합"
"106","혼합제제","효고현","2014-10-06","60","불검출","불검출","적합"
"107","혼합제제","효고현","2014-10-06","30","불검출","불검출","적합"
"108","딸기/냉동","칠레","2014-02-25","17","불검출","불검출","적합"
"109","향신료조제품
(고추냉이가공품)","사이타마현","2014-09-11","1,636.8","불검출","불검출","적합"
"110","향신료조제품
(고추냉이가공품)","나가노현","2014-09-04","129","불검출","불검출","적합"
"111","카레","니가타현","2014-08-18","720","불검출","불검출","적합"
"112","혼합제제","시즈오카현","2014-10-01","595","불검출","불검출","적합"
"113","혼합제제","나가노현","2014-08-27","100","불검출","불검출","적합"
"114","복합조미식품","니가타현","2014-08-28","579","불검출","불검출","적합"
"115","혼합제제","이바라키현","2014-09-22","600","불검출","불검출","적합"
"116","가공두부","후쿠오카현","2014-08-26","1,955","불검출","불검출","적합"
"117","자당지방산에스
테르","미에현","2014-08-08","2,880","불검출","불검출","적합"
"118","자당지방산에스
테르","미에현","2014-08-26","2,880","불검출","불검출","적합"
"119","가공두부","오사카부","2014-09-18","165","불검출","불검출","적합"
"120","과자(비스킷)","이바라키현","2014-09-19","291.6","불검출","불검출","적합"
"121","과자(비스킷)","이바라키현","2014-09-23","381.6","불검출","불검출","적합"
"122","과자(쿠키)","도쿠시마현","2014-10-07","660","불검출","불검출","적합"
"123","과자(쿠키)","도쿠시마현","2014-10-07","600","불검출","불검출","적합"
"124","글리세린지방산
에스테르","미에현","2014-08-29","112","불검출","불검출","적합"
"125","과자(크래커)","니가타현","2014-10-08","62.64","불검출","불검출","적합"
"126","과자(스낵과자)","이바라키현","2014-10-07","2,822.4","불검출","불검출","적합"
"127","과자(비스킷)","이바라키현","2014-09-11","396","불검출","불검출","적합"
"128","과자(스낵과자)","이바라키현","2014-10-07","2,471.4","불검출","불검출","적합"
"129","과자(스낵과자)","이바라키현","2014-10-06","2,471.4","불검출","불검출","적합"
"130","추잉껌","아이치현","2014-10-08","2,925.72","불검출","불검출","적합"
"131","추잉껌","아이치현","2014-10-08","1,741.82","불검출","불검출","적합"
"132","추잉껌","아이치현","2014-10-08","3,402","불검출","불검출","적합"
"133","추잉껌","아이치현","2014-10-08","3,402","불검출","불검출","적합"
"134","혼합제제","이바라키현","2014-10-03","850","불검출","불검출","적합"
"135","혼합제제","사이타마현","2014-07-16","30","불검출","불검출","적합"
"136","혼합제제","사이타마현","2014-09-30","100","불검출","불검출","적합"
