"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","124건","","709,512","","",""
"1","볶은커피","사이타마현","2014-05-21","54","불검출","불검출","적합"
"2","볶은커피","시즈오카현","2014-06-02","21.6","불검출","불검출","적합"
"3","볶은커피","시즈오카현","2014-06-03","32.4","불검출","불검출","적합"
"4","볶은커피","시즈오카현","2014-05-09","32.4","불검출","불검출","적합"
"5","볶은커피","시즈오카현","2014-02-10","162","불검출","불검출","적합"
"6","볶은커피","시즈오카현","2014-04-29","600","불검출","불검출","적합"
"7","볶은커피","시즈오카현","2014-05-15","600","불검출","불검출","적합"
"8","볶은커피","사이타마현","2014-04-28","150","불검출","불검출","적합"
"9","볶은커피","가나가와현","2014-05-15","13.44","불검출","불검출","적합"
"10","볶은커피","가나가와현","2014-05-18","13.44","불검출","불검출","적합"
"11","볶은커피","가나가와현","2014-03-28","13.44","불검출","불검출","적합"
"12","기타가공품","기후현","2014-06-27","202.5","불검출","불검출","적합"
"13","청주","효고현","2014-06-18","540","불검출","불검출","적합"
"14","청주","효고현","2014-05-16","216","불검출","불검출","적합"
"15","청주","효고현","2014-05-27","840","불검출","불검출","적합"
"16","청주","효고현","2013-12-26","198.72","불검출","불검출","적합"
"17","청주","효고현","2014-04-07","648","불검출","불검출","적합"
"18","청주","효고현","2014-05-21","108","불검출","불검출","적합"
