"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","12건","-","-","250,015","-","-","-"
"1","냉동곤이(대구)","러시아","2015-4-16","9,975","불검출","불검출","적합"
"2","냉동곤이(명태)","러시아","2015-4-16","3,308","불검출","불검출","적합"
"3","냉동가자미(각시가자미) 미국","","2015-4-16","48,438","불검출","불검출","적합"
"4","냉동대구(목살)","러시아","2015-4-16","8,976","불검출","불검출","적합"
"5","냉동명태(F)","러시아","2015-4-16","24,000","불검출","불검출","적합"
"6","냉동가자미(검정가자미) 러시아","","2015-4-16","162","불검출","불검출","적합"
"7","냉동가자미(첨치가자미) 러시아","","2015-4-16","648","불검출","불검출","적합"
"8","냉동상어(청상아리)","대만","2015-4-16","28,068","불검출","불검출","적합"
"9","냉동가자미(각시가자미) 러시아","","2015-4-16","20,720","불검출","불검출","적합"
"10","냉동고등어","중국","2015-4-16","24,000","불검출","불검출","적합"
"11","냉동고등어","중국","2015-4-16","72,000","불검출","불검출","적합"
"12","냉동명태(F)","러시아","2015-4-16","9,720","불검출","불검출","적합"
