"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건21","-","-","87,173","-","-","-"
"1","냉동돔 금눈돔
(
,
F,
포장횟감
)","나가사키현","2016-02-15","61","불검출","불검출","적합"
"2","활돔 참돔(
)","나가사키현","2016-02-15","2,924","불검출","불검출","적합"
"3","활돔 참돔(
)","나가사키현","2016-02-15","12,308","불검출","불검출","적합"
"4","활방어","오이타현","2016-02-15","2,907","불검출","불검출","적합"
"5","활방어","오이타현","2016-02-15","4,970","불검출","불검출","적합"
"6","활방어","오이타현","2016-02-15","7,911","불검출","불검출","적합"
"7","활문어","홋카이도","2016-02-15","3,160","불검출","불검출","적합"
"8","냉동기름치","태평양","2016-02-15","23,560","불검출","불검출","적합"
"9","냉동게 참게(
)","후쿠오카현","2016-02-15","1,525","불검출","불검출","적합"
"10","냉동다랑어
(
눈다랑어 횟감
,F,
)","태평양","2016-02-15","4,031","불검출","불검출","적합"
"11","냉동다랑어
(
눈다랑어 목살
,
)","태평양","2016-02-15","880","불검출","불검출","적합"
"12","냉장명태","홋카이도","2016-02-15","5,870","불검출","불검출","적합"
"13","냉장명태","홋카이도","2016-02-15","4,290","불검출","불검출","적합"
"14","냉장명태","홋카이도","2016-02-15","1,800","불검출","불검출","적합"
"15","냉장홍어","홋카이도","2016-02-15","1,925","불검출","불검출","적합"
"16","냉장명태","홋카이도","2016-02-15","1,469","불검출","불검출","적합"
