"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 125건","","","","731,985","","",""
"1","맥주","후쿠오카현","2017-10-05","35,640","불검출","불검출","적합"
"2","맥주","후쿠오카현","2017-09-01","52,344","불검출","불검출","적합"
"3","맥주","후쿠오카현","2017-09-13","314,064","불검출","불검출","적합"
"4","맥주","후쿠오카현","2017-09-05","83,916","불검출","불검출","적합"
"5","맥주","후쿠오카현","2017-10-02","83,916","불검출","불검출","적합"
"6","청주","교토부","2017-09-08","101","불검출","불검출","적합"
"7","청주","교토부","2017-09-13","2,059","불검출","불검출","적합"
"8","청주","교토부","2017-10-07","1,555","불검출","불검출","적합"
"9","청주","교토부","2017-09-25","518","불검출","불검출","적합"
"10","청주","교토부","2017-09-25","5,702","불검출","불검출","적합"
"11","청주","교토부","2017-09-16","6,221","불검출","불검출","적합"
"12","밀크초콜릿","시즈오카현","2017-08-30","323","불검출","불검출","적합"
"13","혼합제제","후쿠시마현","2017-10-04","198","불검출","불검출","적합"
