"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"5","냉동다랑어(눈다랑어,목살,횟감)","대만","2017-12-19","282","불검출","불검출","적합"
"6","냉동꽁치","대만","2017-12-19","22,420","불검출","불검출","적합"
"7","냉동꽁치","대만","2017-12-19","132,222","불검출","불검출","적합"
"8","냉동꽁치","대만","2017-12-19","30,574","불검출","불검출","적합"
"9","냉동꽁치","대만","2017-12-19","269,775","불검출","불검출","적합"
"10","냉동꽁치","대만","2017-12-19","16,386","불검출","불검출","적합"
"11","냉동다랑어(눈다랑어,F)","중국","2017-12-19","3,860","불검출","불검출","적합"
"12","냉동다랑어(눈다랑어,목살)","중국","2017-12-19","2,480","불검출","불검출","적합"
"13","냉동꽁치","대만","2017-12-19","22,037","불검출","불검출","적합"
"14","냉동꽁치","대만","2017-12-19","23,300","불검출","불검출","적합"
"15","냉동꽁치","대만","2017-12-19","62,758","불검출","불검출","적합"
"16","냉동대구(목살)","러시아","2017-12-19","7,922","불검출","불검출","적합"
"합계","","-","-","675,084","-","-","-"
