"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"1","냉동명태","러시아","2017-10-12","24,000","불검출","불검출","적합"
"2","냉동명태","러시아","2017-10-12","1,159,798","불검출","불검출","적합"
"3","냉동홍어","우루과이","2017-10-12","22,990","불검출","불검출","적합"
"4","냉동가자미","러시아","2017-10-12","1,462","불검출","불검출","적합"
"5","냉동명태(F)","러시아","2017-10-12","22,325","불검출","불검출","적합"
"6","냉동가자미","러시아","2017-10-12","4,730","불검출","불검출","적합"
"7","냉동가자미(각시가자미)","러시아","2017-10-12","22,000","불검출","불검출","적합"
"8","냉동대구(F)","러시아","2017-10-12","10,000","불검출","불검출","적합"
"9","냉동명태","러시아","2017-10-12","894,701","불검출","불검출","적합"
"10","활장어(뱀장어)","뉴질랜드","2017-10-12","450","불검출","불검출","적합"
"11","활드렁허리","방글라데시","2017-10-12","688","불검출","불검출","적합"
