"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","23,769","-","-","-"
"1","냉장갈치","후쿠오카현","2016-10-28","2,050","불검출","불검출","적합"
"2","냉장갈치","오이타현","2016-10-28","545","불검출","불검출","적합"
"3","냉장가오리","야마구치현","2016-10-28","140","불검출","불검출","적합"
"4","냉장홍어","야마구치현","2016-10-28","360","불검출","불검출","적합"
"5","냉동상어
(청상아리,F)","인도양","2016-10-28","2,150","불검출","불검출","적합"
"6","냉동상어
(청상아리,F)","태평양","2016-10-28","7,643","불검출","불검출","적합"
"7","냉장갈치","후쿠오카현","2016-10-28","880","불검출","불검출","적합"
"8","냉장갈치","오이타현","2016-10-28","530","불검출","불검출","적합"
"9","냉장갈치","오이타현","2016-10-28","540","불검출","불검출","적합"
"10","냉장갈치","후쿠오카현","2016-10-28","595","불검출","불검출","적합"
"11","냉장갈치","야마구치현","2016-10-28","140","불검출","불검출","적합"
"12","활돔(강담돔)","나가사키현","2016-10-28","950","불검출","불검출","적합"
"13","냉장갈치","오이타현","2016-10-28","710","불검출","불검출","적합"
"14","냉동새치
(황새치,F,횟감)","대서양","2016-10-28","994","불검출","불검출","적합"
"15","냉장갈치","미야자키현","2016-10-28","70","불검출","불검출","적합"
"16","활꼬막","후쿠오카현","2016-10-28","3,100","불검출","불검출","적합"
