"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","33,236","-","-","-"
"1","활우렁쉥이","홋카이도","2016-10-31","7,000","불검출","불검출","적합"
"2","냉장갈치","오이타현","2016-10-31","435","불검출","불검출","적합"
"3","냉장갈치","후쿠오카현","2016-10-31","1,090","불검출","불검출","적합"
"4","활가리비","홋카이도","2016-10-31","6,947","불검출","불검출","적합"
"5","냉장갈치","와카야마현","2016-10-31","1,224","불검출","불검출","적합"
"6","냉장갈치","와카야마현","2016-10-31","280","불검출","불검출","적합"
"7","냉장갈치","에히메현","2016-10-31","270","불검출","불검출","적합"
"8","냉장준치","구마모토현","2016-10-31","84","불검출","불검출","적합"
"9","냉장명태","홋카이도","2016-10-31","2,900","불검출","불검출","적합"
"10","냉장명태","홋카이도","2016-10-31","2,900","불검출","불검출","적합"
"11","냉장명태","홋카이도","2016-10-31","2,500","불검출","불검출","적합"
"12","냉장갈치","와카야마현","2016-10-31","920","불검출","불검출","적합"
"13","냉장갈치","후쿠오카현","2016-10-31","1,260","불검출","불검출","적합"
"14","냉장갈치","오이타현","2016-10-31","975","불검출","불검출","적합"
"15","냉장갈치","미야자키현","2016-10-31","290","불검출","불검출","적합"
"16","냉장갈치","와카야마현","2016-10-31","320","불검출","불검출","적합"
