"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","391,296","-","-","-"
"1","냉동대구(목살)","러시아","2017-04-05","28,934","불검출","불검출","적합"
"2","냉동명태","러시아","2017-04-05","134,275","불검출","불검출","적합"
"3","냉동대구(머리)","러시아","2017-04-05","1,380","불검출","불검출","적합"
"4","냉동곤이(명태)","러시아","2017-04-05","3,015","불검출","불검출","적합"
"5","냉 동 상 어 ( 귀 상
어)","베트남","2017-04-05","6,232","불검출","불검출","적합"
"6","냉동명태","러시아","2017-04-05","95,245","불검출","불검출","적합"
"7","냉동가자미(각시
가자미)","러시아","2017-04-05","21,350","불검출","불검출","적합"
"8","냉동명태(F)","러시아","2017-04-05","10,000","불검출","불검출","적합"
"9","냉동가자미(까지
가자미)","러시아","2017-04-05","22,500","불검출","불검출","적합"
"10","냉동명태(F)","러시아","2017-04-05","8,715","불검출","불검출","적합"
"11","마른명태포","러시아","2017-04-05","6,000","불검출","불검출","적합"
"12","마른명태","러시아","2017-04-05","10,000","불검출","불검출","적합"
"13","냉동가자미(각시
가자미)","미국","2017-04-05","21,150","불검출","불검출","적합"
"14","냉동가자미(각시
가자미)","러시아","2017-04-05","22,500","불검출","불검출","적합"
