"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"1","냉동꽁치","대만","2017-12-20","111,784","불검출","불검출","적합"
"2","냉동명태","러시아","2017-12-20","1,080,504","불검출","불검출","적합"
"3","냉동꽁치","대만","2017-12-20","17,249","불검출","불검출","적합"
"4","냉동꽁치","대만","2017-12-20","5,664","불검출","불검출","적합"
"5","냉동명태","러시아","2017-12-20","6,288","불검출","불검출","적합"
"6","냉동다랑어(남방참다랑어,목살)","호주","2017-12-20","350","불검출","불검출","적합"
"7","냉동꽁치","대만","2017-12-20","133,222","불검출","불검출","적합"
"8","냉동대구(목살)","러시아","2017-12-20","18,232","불검출","불검출","적합"
"9","냉동명태(F)","러시아","2017-12-20","9,830","불검출","불검출","적합"
"10","냉동가자미(각시가자미)","러시아","2017-12-20","22,500","불검출","불검출","적합"
"11","냉동가자미(첨치가자미,F)","미국","2017-12-20","23,000","불검출","불검출","적합"
"12","냉동꽁치","대만","2017-12-20","271,060","불검출","불검출","적합"
"13","냉동대구(F)","러시아","2017-12-20","15,000","불검출","불검출","적합"
"14","냉동꽁치","대만","2017-12-20","68,700","불검출","불검출","적합"
"15","냉동명태(F)","러시아","2017-12-20","20,150","불검출","불검출","적합"
"16","냉동가자미(각시가자미)","러시아","2017-12-20","7,767","불검출","불검출","적합"
"합계","","-","-","1,811,300","-","-","-"
