"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건27","-","-","96,564","-","-","-"
"1","활장어 먹장어
(
)","나가사키현","2015-10-29","1,619","불검출","불검출","적합"
"2","활가리비","홋카이도","2015-10-29","6,926","불검출","불검출","적합"
"3","냉동장어
(
붕장어
,F)","나가사키현","2015-10-29","24","불검출","불검출","적합"
"4","냉장꼬치고기
자숙(
)","나가사키현","2015-10-29","3","불검출","불검출","적합"
"5","활꼬막","사가현","2015-10-29","1,600","불검출","불검출","적합"
"6","냉동다랑어
(
남방참다랑어
)","인도양","2015-10-29","12,870","불검출","불검출","적합"
"7","활우렁쉥이","홋카이도","2015-10-29","8,798","불검출","불검출","적합"
"8","활우렁쉥이","홋카이도","2015-10-29","17,953","불검출","불검출","적합"
"9","냉장갈치","와카야마현","2015-10-29","576","불검출","불검출","적합"
"10","냉장명태","홋카이도","2015-10-29","8,210","불검출","불검출","적합"
"11","냉장갈치","오이타현","2015-10-29","197","불검출","불검출","적합"
"12","냉장홍어","홋카이도","2015-10-29","2,897","불검출","불검출","적합"
"13","냉장홍어","홋카이도","2015-10-29","6,834","불검출","불검출","적합"
"14","냉장명태","홋카이도","2015-10-29","4,000","불검출","불검출","적합"
"15","냉장갈치","오이타현","2015-10-29","330","불검출","불검출","적합"
"16","냉장갈치","히로시마현","2015-10-29","1,152","불검출","불검출","적합"
