"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"17","냉장갈치","오이타현","2015-10-27","1,330","불검출","불검출","적합"
"18","냉장갈치","히로시마현","2015-10-27","494","불검출","불검출","적합"
"19","냉장갈치","야마구치현","2015-10-27","459","불검출","불검출","적합"
"20","냉장갈치","에히메현","2015-10-27","800","불검출","불검출","적합"
"21","활우렁쉥이","홋카이도","2015-10-27","8,628","불검출","불검출","적합"
"22","활우렁쉥이","홋카이도","2015-10-27","17,981","불검출","불검출","적합"
"23","활가리비","홋카이도","2015-10-27","7,220","불검출","불검출","적합"
"24","활우렁쉥이","홋카이도","2015-10-27","9,189","불검출","불검출","적합"
"25","활우렁쉥이","홋카이도","2015-10-27","9,381","불검출","불검출","적합"
"26","냉장명태","홋카이도","2015-10-27","5,900","불검출","불검출","적합"
"27","냉장갈치","와카야마현","2015-10-27","2,842","불검출","불검출","적합"
"28","냉장홍어","야마구치현","2015-10-27","300","불검출","불검출","적합"
"29","냉장홍어","홋카이도","2015-10-27","3,150","불검출","불검출","적합"
"30","냉장갈치","오이타현","2015-10-27","740","불검출","불검출","적합"
"31","냉장홍어","홋카이도","2015-10-27","3,676","불검출","불검출","적합"
"32","냉장명태","홋카이도","2015-10-27","3,000","불검출","불검출","적합"
"33","활우렁쉥이","홋카이도","2015-10-27","8,031","불검출","불검출","적합"
"34","활우렁쉥이","홋카이도","2015-10-27","9,636","불검출","불검출","적합"
