"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건13","-","-","436,066","-","-","-"
"1","냉동대구","러시아","2015-10-28","1,054","불검출","불검출","적합"
"2","냉동상어 귀상어
(
)","베트남","2015-10-28","4,560","불검출","불검출","적합"
"3","냉동대구","러시아","2015-10-28","143,620","불검출","불검출","적합"
"4","냉동가자미
(
검정가자미
)","러시아","2015-10-28","602","불검출","불검출","적합"
"5","냉동가자미
(
마설가자미
)","러시아","2015-10-28","1,658","불검출","불검출","적합"
"6","냉동다랑어
(
눈다랑어 횟감
,F,
)","중국","2015-10-28","780","불검출","불검출","적합"
"7","냉동명태(F)","러시아","2015-10-28","23,000","불검출","불검출","적합"
"8","냉동꽁치","대만","2015-10-28","52,265","불검출","불검출","적합"
"9","냉동꽁치","대만","2015-10-28","40,885","불검출","불검출","적합"
"10","냉동꽁치","대만","2015-10-28","20,203","불검출","불검출","적합"
"11","냉동꽁치","대만","2015-10-28","39,707","불검출","불검출","적합"
"12","냉동대구","러시아","2015-10-28","1,314","불검출","불검출","적합"
"13","냉동꽁치","대만","2015-10-28","106,418","불검출","불검출","적합"
