"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","24,395","-","-","-"
"1","활가리비","홋카이도","2017-02-23","7,000","불검출","불검출","적합"
"2","활대합(북방대합)","홋카이도","2017-02-23","1,452","불검출","불검출","적합"
"3","냉장전갱이
(흑점줄전갱이)","후쿠오카현","2017-02-23","11","불검출","불검출","적합"
"4","냉장돔(금눈돔)","후쿠오카현","2017-02-23","6","불검출","불검출","적합"
"5","활꼬막","사가현","2017-02-23","100","불검출","불검출","적합"
"6","냉장갈치","후쿠오카현","2017-02-23","410","불검출","불검출","적합"
"7","냉장돔(황돔)","야마구치현","2017-02-23","265","불검출","불검출","적합"
"8","냉장갈치","효고현","2017-02-23","208","불검출","불검출","적합"
"9","냉장가오리","에히메현","2017-02-23","650","불검출","불검출","적합"
"10","냉장갈치","구마모토","2017-02-23","740","불검출","불검출","적합"
"11","냉장준치","구마모토","2017-02-23","434","불검출","불검출","적합"
"12","냉장갈치","오이타현","2017-02-23","625","불검출","불검출","적합"
"13","냉장명태","홋카이도","2017-02-23","325","불검출","불검출","적합"
"14","냉장명태","홋카이도","2017-02-23","1,440","불검출","불검출","적합"
"15","냉장대구","홋카이도","2017-02-23","120","불검출","불검출","적합"
"16","냉장명태","홋카이도","2017-02-23","338","불검출","불검출","적합"
