"순번","품목명","제조·생산지","제조일자
(유통기한)","수입
중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"48","청주","야마가타현","2018-11-15","540","불검출","불검출","적합"
"49","혼합제제","사이타마현","2018-12-21","108","불검출","불검출","적합"
"50","과자","니가타현","2018-12-07","102","불검출","불검출","적합"
"51","과자","나가노현","2018-12-18","118","불검출","불검출","적합"
"52","빵류","나가노현","2018-12-18","176","불검출","불검출","적합"
"53","빵류","나가노현","2018-12-18","168","불검출","불검출","적합"
"54","캔디류","도야마현","2018-10-10","974","불검출","불검출","적합"
"55","트랜스글루타미나아제","가나가와현","2018-10-22","250","불검출","불검출","적합"
"56","트랜스글루타미나아제","가나가와현","2018-10-11","150","불검출","불검출","적합"
"57","복합조미식품","가나가와현","2018-11-11","480","불검출","불검출","적합"
"58","소스","가나가와현","2018-11-02","160","불검출","불검출","적합"
"59","숙면","아이치현","2018-11-28","2,784","불검출","불검출","적합"
"60","초콜릿","훗카이도","2018-12-06","367","불검출","불검출","적합"
"61","건어포","효고현","2018-12-21","540","불검출","불검출","적합"
"62","가공두부","후쿠오카현","2018-12-07","2,600","불검출","불검출","적합"
"63","된장","아이치현","2018-11-20","160","불검출","불검출","적합"
"64","혼합장","아이치현","2018-12-03","110","불검출","불검출","적합"
"65","발효식초","가고시마현","2018-05-17","60","불검출","불검출","적합"
"66","당류가공품","오사카부","2018-12-21","2,256","불검출","불검출","적합"
"67","당류가공품","오사카부","2018-12-21","480","불검출","불검출","적합"
"68","당류가공품","오사카부","2018-12-21","1,782","불검출","불검출","적합"
"69","당류가공품","효고현","2018-12-05","160","불검출","불검출","적합"
"70","향신료조제품","나라현","2018-08-27","200","불검출","불검출","적합"
"71","청주","교토부","2018-11-02","360","불검출","불검출","적합"
"72","청주","교토부","2018-10-03","1,080","불검출","불검출","적합"
"73","청주","교토부","2018-10-12","2,160","불검출","불검출","적합"
"74","청주","효고현","2018-11-13","154","불검출","불검출","적합"
"75","소스","사가현","2018-11-02","450","불검출","불검출","적합"
"76","볶은커피","오사카부","2018-11-06","2,661","불검출","불검출","적합"
"77","준초콜릿","사이타마현","2018-12-10","552","불검출","불검출","적합"
"78","소스","군마현","2018-11-15","850","불검출","불검출","적합"
"79","과자","아이치현","2018-11-29","171","불검출","불검출","적합"
"80","과자","아이치현","2018-11-18","629","불검출","불검출","적합"
