"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 81건","","","","278,510","","",""
"1","국수","구마모토현","2017-06-28","1,238","불검출","불검출","적합"
"2","양조간장","지바현","2017-06-10","63","불검출","불검출","적합"
"3","국수","구마모토현","2017-07-03","150","불검출","불검출","적합"
"4","국수","구마모토현","2017-07-03","180","불검출","불검출","적합"
"5","양조간장","지바현","2017-06-07","6,318","불검출","불검출","적합"
"6","소스류","지바현","2017-06-29","7,130","불검출","불검출","적합"
"7","소스류","기후현","2017-06-22","18","불검출","불검출","적합"
"8","소스류","나가사키현","2017-07-18","500","불검출","불검출","적합"
"9","과자(스낵과자)","아이치현","2017-06-22","137","불검출","불검출","적합"
"10","과자(스낵과자)","야마가타현","2017-06-20","90","불검출","불검출","적합"
"11","청주","효고현","2017-07-10","104","불검출","불검출","적합"
"12","맥주","오이타현","2017-06-21","36,800","불검출","불검출","적합"
"13","맥주","오이타현","2017-06-21","7,000","불검출","불검출","적합"
