"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"1","냉동상어(청상아리)","남아프리카공화국","2017-08-10","6,644","불검출","불검출","적합"
"2","냉동가자미","러시아","2017-08-10","3,418","불검출","불검출","적합"
"3","냉동새우(북쪽분홍새우,자숙)","그린랜드","2017-08-10","70","불검출","불검출","적합"
"4","냉동가자미(각시가자미)","러시아","2017-08-10","22,000","불검출","불검출","적합"
"5","냉동가자미(각시가자미)","러시아","2017-08-10","22,000","불검출","불검출","적합"
"6","냉동가자미(각시가자미)","러시아","2017-08-10","22,050","불검출","불검출","적합"
"7","냉동곤이(명태)","러시아","2017-08-10","90","불검출","불검출","적합"
"8","냉동꽁치","대만","2017-08-10","67,620","불검출","불검출","적합"
"9","냉동대구","러시아","2017-08-10","22,158","불검출","불검출","적합"
"10","냉동어란(명란)","미국","2017-08-10","42,536","불검출","불검출","적합"
"합계","","-","-","208,586","-","-","-"
