"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 134건","","","","188,436","","",""
"1","소스류","도치기현","2017-07-01","480","불검출","불검출","적합"
"2","소스류","도치기현","2017-07-03","432","불검출","불검출","적합"
"3","소스류","아이치현","2017-07-18","9,720","불검출","불검출","적합"
"4","소스류","도치기현","2017-07-14","864","불검출","불검출","적합"
"5","소스류","도치기현","2017-07-01","864","불검출","불검출","적합"
"6","소스류","효고현","2017-07-04","126","불검출","불검출","적합"
"7","소스류","효고현","2017-06-19","126","불검출","불검출","적합"
"8","소스류","효고현","2017-07-03","126","불검출","불검출","적합"
"9","양조간장","군마현","2017-06-23","540","불검출","불검출","적합"
"10","양조간장","군마현","2017-06-28","1,080","불검출","불검출","적합"
"11","카라멜색소","도치기현","2017-06-30","420","불검출","불검출","적합"
"12","폴리글리세린
지방산에스테르","효고현","2017-06-14","1,000","불검출","불검출","적합"
