"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 132건","","","","299,366","","",""
"1","청주","돗토리현","2018-05-22","72","불검출","불검출","적합"
"2","기타장류","효고현","2018-05-10","1,260","불검출","불검출","적합"
"3","소스","시즈오카현","2018-05-14","800","불검출","불검출","적합"
"4","소스","훗카이도","2018-05-02","384","불검출","불검출","적합"
"5","카레(커리)","나라현","2018-05-09","400","불검출","불검출","적합"
"6","카레(커리)","나라현","2018-03-13","200","불검출","불검출","적합"
"7","카레(커리)","나라현","2018-03-07","1,200","불검출","불검출","적합"
"8","빵류","기후현","2018-05-25","2,016","불검출","불검출","적합"
"9","기타가공품","시즈오카현","2017-09-04","1,350","불검출","불검출","적합"
"10","절임식품","도치기현","2018-05-15","200","불검출","불검출","적합"
"11","절임식품","도치기현","2018-05-15","32","불검출","불검출","적합"
"12","절임식품","도치기현","2018-05-15","48","불검출","불검출","적합"
"13","혼합제제","히로시마현","2018-02-16","400","불검출","불검출","적합"
"14","혼합제제","나가노현","2018-05-25","100","불검출","불검출","적합"
"15","소스","후쿠오카현","2018-05-29","6,300","불검출","불검출","적합"
