"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"14","혼합제제","지바현","2015-08-27","200","불검출","불검출","적합"
"15","고형차","시즈오카현","2015-08-16","206","불검출","불검출","적합"
"16","고형차","시즈오카현","2015-08-02","206","불검출","불검출","적합"
"17","청주","니가타현","2015-08-26","864","불검출","불검출","적합"
"18","당류가공품","오카야마현","2015-07-25","17,440","불검출","불검출","적합"
"19","소주","이바라키현","2015-08-28","377","불검출","불검출","적합"
"20","청주","이바라키현","2015-08-27","1,007","불검출","불검출","적합"
"21","청주","이바라키현","2015-08-27","8,003","불검출","불검출","적합"
"22","청주","니가타현","2015-08-25","1,428","불검출","불검출","적합"
"23","청주","니가타현","2015-08-27","1,428","불검출","불검출","적합"
"24","청주","니가타현","2015-08-25","1,752","불검출","불검출","적합"
"25","청주","니가타현","2015-08-27","1,718","불검출","불검출","적합"
"26","청주","니가타현","2015-08-26","904","불검출","불검출","적합"
"27","리큐르","시즈오카현","2015-08-03","3,360","불검출","불검출","적합"
"28","청주","교토부","2015-07-21","1,512","불검출","불검출","적합"
"29","리큐르","미에현","2015-08-24","3,360","불검출","불검출","적합"
"30","과자(쿠키)","군마현","2015-08-12","155.4","불검출","불검출","적합"
"31","과자(쿠키)","군마현","2015-08-08","158.2","불검출","불검출","적합"
"32","맥주","오이타현","2015-08-26","66,240","불검출","불검출","적합"
"33","복합조미식품","가나가와현","2015-04-09","400","불검출","불검출","적합"
"34","과자(스낵과자)","니가타현","2015-09-08","306","불검출","불검출","적합"
"35","복합조미식품","가나가와현","2015-07-07","120","불검출","불검출","적합"
"36","곡류가공품","아이치현","2015-08-19","864","불검출","불검출","적합"
"37","양조간장","효고현","2015-08-18","216","불검출","불검출","적합"
"38","식초절임(매실절임)","와카야마현","2015-08-31","21.6","불검출","불검출","적합"
"39","양조간장","아이치현","2015-08-20","324","불검출","불검출","적합"
"40","전분가공품","효고현","2015-08-25","200","불검출","불검출","적합"
"41","천연향신료","도치기현","2015-07-23","249.6","불검출","불검출","적합"
"42","양조간장","군마현","2015-08-25","720","불검출","불검출","적합"
"43","양조간장","군마현","2015-08-26","360","불검출","불검출","적합"
"44","발효식초","기후현","2015-07-17","400","불검출","불검출","적합"
"45","된장","교토부","2015-08-26","360","불검출","불검출","적합"
"46","국수","아키타현","2015-08-31","200","불검출","불검출","적합"
"47","국수","가가와현","2015-08-07","100","불검출","불검출","적합"
