"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","1,248,184.7","-","-","-"
"1","냉동대구","러시아","2016-10-25","133,776","불검출","불검출","적합"
"2","냉동꽁치","대만","2016-10-25","141,137","불검출","불검출","적합"
"3","냉동꽁치","대만","2016-10-25","205,747.2","불검출","불검출","적합"
"4","냉동명태","러시아","2016-10-25","553,861.5","불검출","불검출","적합"
"5","냉동대구","러시아","2016-10-25","1,634","불검출","불검출","적합"
"6","냉동꽁치","대만","2016-10-25","146,621","불검출","불검출","적합"
"7","냉동꽁치","대만","2016-10-25","22,560","불검출","불검출","적합"
"8","냉동명태","러시아","2016-10-25","7,810","불검출","불검출","적합"
"9","냉동꽁치","바누아투","2016-10-25","14,879","불검출","불검출","적합"
"10","냉동상어
(흑기흉상어)","중국","2016-10-25","20,159","불검출","불검출","적합"
