"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 91건","","","","487,813","","",""
"1","어묵","사가현","2018-02-01","1,440","불검출","불검출","적합"
"2","어묵","사가현","2018-02-01","840","불검출","불검출","적합"
"3","어묵","사가현","2018-02-01","1,584","불검출","불검출","적합"
"4","어묵","사가현","2017-02-01","86","불검출","불검출","적합"
"5","어묵","사가현","2018-02-01","700","불검출","불검출","적합"
"6","어묵","사가현","2018-02-01","600","불검출","불검출","적합"
"7","어묵","사가현","2018-02-01","727","불검출","불검출","적합"
"8","어묵","시마네현","2018-02-01","5,892","불검출","불검출","적합"
"9","어묵","시마네현","2018-02-05","2,160","불검출","불검출","적합"
"10","과자","니가타현","2018-02-05","1,326","불검출","불검출","적합"
"11","혼합제제","사이타마현","2018-02-02","153","불검출","불검출","적합"
"12","기타천연착향료","사이타마현","2018-02-05","361,956","불검출","불검출","적합"
"13","글루코만난","히로시마현","2018-01-12","50","불검출","불검출","적합"
