"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 89건","","","","138,286","","",""
"1","맥주","오이타현","2018-01-21","10,280","불검출","불검출","적합"
"2","맥주","오이타현","2018-01-11","4,000","불검출","불검출","적합"
"3","소스","후쿠오카현","2018-01-16","135","불검출","불검출","적합"
"4","소스","후쿠오카현","2018-01-25","280","불검출","불검출","적합"
"5","혼합제제","시가현","2018-02-16","50","불검출","불검출","적합"
"6","혼합제제","시가현","2018-02-16","50","불검출","불검출","적합"
"7","혼합제제","시가현","2018-02-14","25","불검출","불검출","적합"
"8","혼합제제","시가현","2018-02-14","25","불검출","불검출","적합"
"9","소스","히로시마현","2018-02-13","2,160","불검출","불검출","적합"
"10","소스","도치기현","2017-10-18","36","불검출","불검출","적합"
"11","소스","효고현","2018-01-17","180","불검출","불검출","적합"
"12","소스","도치기현","2018-01-05","270","불검출","불검출","적합"
"13","소스","도치기현","2018-01-18","54","불검출","불검출","적합"
