"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건23","-","-","71,444","-","-","-"
"1","활전복","나가사키현","2015-09-14","320","불검출","불검출","적합"
"2","활돔 참돔(
)","에히메현","2015-09-14","9,736","불검출","불검출","적합"
"3","활가리비","홋카이도","2015-09-14","7,200","불검출","불검출","적합"
"4","냉동다랑어
(
눈다랑어목살횟감
,
,
)","태평양","2015-09-14","900","불검출","불검출","적합"
"5","냉동다랑어
(
눈다랑어목살횟감
,
,
)","인도양","2015-09-14","20","불검출","불검출","적합"
"6","냉동다랑어
(
눈다랑어 횟감
,F,
)","태평양","2015-09-14","31","불검출","불검출","적합"
"7","냉동새치 녹새치
(
)","인도양","2015-09-14","1,482","불검출","불검출","적합"
"8","냉동상어
(
청상아리
)","인도양","2015-09-14","3,270","불검출","불검출","적합"
"9","냉동상어
(
청상아리
,F)","인도양","2015-09-14","3,540","불검출","불검출","적합"
"10","냉장돔 참돔(
)","야마구치현","2015-09-14","715","불검출","불검출","적합"
"11","냉장돔 황돔(
)","야마구치현","2015-09-14","270","불검출","불검출","적합"
"12","냉장돔 참돔(
)","야마구치현","2015-09-14","160","불검출","불검출","적합"
"13","냉장명태","홋카이도","2015-09-14","1,296","불검출","불검출","적합"
"14","냉장홍어","홋카이도","2015-09-14","3,067","불검출","불검출","적합"
"15","활가리비","홋카이도","2015-09-14","14,346","불검출","불검출","적합"
"16","냉장갈치","오이타현","2015-09-14","105","불검출","불검출","적합"
"17","냉장돔 참돔(
)","야마구치현","2015-09-14","165","불검출","불검출","적합"
