"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 160건","","","","1,217,414","","",""
"1","소스류","지바현","2017-08-02","562","불검출","불검출","적합"
"2","초콜릿가공품","효고현","2017-08-24","8","불검출","불검출","적합"
"3","초콜릿가공품","효고현","2017-08-07","8","불검출","불검출","적합"
"4","초콜릿가공품","효고현","2017-08-17","8","불검출","불검출","적합"
"5","초콜릿가공품","효고현","2017-08-04","8","불검출","불검출","적합"
"6","맥주","후쿠오카현","2017-09-05","331,512","불검출","불검출","적합"
"7","맥주","후쿠오카현","2017-09-01","52,344","불검출","불검출","적합"
"8","맥주","후쿠오카현","2017-08-08","69,792","불검출","불검출","적합"
"9","맥주","아이치현","2017-08-28","14,117","불검출","불검출","적합"
"10","맥주","후쿠오카현","2017-09-12","57,216","불검출","불검출","적합"
"11","맥주","후쿠오카현","2017-09-05","16,783","불검출","불검출","적합"
"12","기타발효음료","사가현","2017-09-11","68","불검출","불검출","적합"
"13","과.채음료","훗카이도","2017-09-05","45","불검출","불검출","적합"
