"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","60,072","-","-","-"
"1","활가리비","홋카이도","2016-08-08","7,260","불검출","불검출","적합"
"2","활가리비","홋카이도","2016-08-08","6,970","불검출","불검출","적합"
"3","냉장갈치","와카야마현","2016-08-08","560","불검출","불검출","적합"
"4","냉장명태","홋카이도","2016-08-08","2,951","불검출","불검출","적합"
"5","냉장갈치","와카야마현","2016-08-08","1,615","불검출","불검출","적합"
"6","냉장돔(황돔)","후쿠오카현","2016-08-08","120","불검출","불검출","적합"
"7","냉장갈치","와카야마현","2016-08-08","960","불검출","불검출","적합"
"8","냉장민어(수조기)","야마구치현","2016-08-08","156","불검출","불검출","적합"
"9","냉장돔(황돔)","야마구치현","2016-08-08","305","불검출","불검출","적합"
"10","냉장돔(참돔)","야마구치현","2016-08-08","210","불검출","불검출","적합"
"11","냉장병어","야마구치현","2016-08-08","90","불검출","불검출","적합"
"12","냉동다랑어
(남방참다랑어)","인도양","2016-08-08","1,041","불검출","불검출","적합"
"13","활가리비","홋카이도","2016-08-08","7,236","불검출","불검출","적합"
"14","활가리비","홋카이도","2016-08-08","7,198","불검출","불검출","적합"
