"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","53,408","-","-","-"
"1","활장어(먹장어)","나가사키현","2016-08-09","1,681","불검출","불검출","적합"
"2","활돔(참돔)","구마모토현","2016-08-09","9,996","불검출","불검출","적합"
"3","활돔(참돔)","구마모토현","2016-08-09","9,789","불검출","불검출","적합"
"4","활돔(참돔)","에히메현","2016-08-09","9,324","불검출","불검출","적합"
"5","냉장명태","홋카이도","2016-08-09","660","불검출","불검출","적합"
"6","냉장명태","홋카이도","2016-08-09","1,812","불검출","불검출","적합"
"7","냉장명태","홋카이도","2016-08-09","660","불검출","불검출","적합"
"8","냉동다랑어
(눈다랑어,F,횟감)","태평양","2016-08-09","402","불검출","불검출","적합"
"9","냉장명태","홋카이도","2016-08-09","1,812","불검출","불검출","적합"
"10","냉장홍어","홋카이도","2016-08-09","560","불검출","불검출","적합"
"11","냉동다랑어
(눈다랑어,목살)","태평양","2016-08-09","695","불검출","불검출","적합"
"12","냉장명태","홋카이도","2016-08-09","3,172","불검출","불검출","적합"
"13","냉장갈치","와카야마현","2016-08-09","1,216","불검출","불검출","적합"
"14","냉장돔(황돔)","후쿠오카현","2016-08-09","110","불검출","불검출","적합"
