"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","76건","","368,787","","",""
"1","로커스트콩검","도야마현","2014-06-05","1,000","불검출","불검출","적합"
"2","백설탕","후쿠오카현","2014-05-26","700","불검출","불검출","적합"
"3","백설탕","후쿠오카현","2014-05-17","700","불검출","불검출","적합"
"4","기타설탕","후쿠오카현","2014-04-07","400","불검출","불검출","적합"
"5","맥주","후쿠오카현","2014-06-05","209,520","불검출","불검출","적합"
"6","스피루리나 제품","도야마현","2014-05-22","600","불검출","불검출","적합"
"7","혼합제제","도쿄도","2014-06-24","30","불검출","불검출","적합"
"8","소스류","히로시마현","2014-06-27","6,012","불검출","불검출","적합"
"9","혼합제제","나가노현","2014-05-10","88","불검출","불검출","적합"
"10","당절임","도쿄도","2014-05-16","22","불검출","불검출","적합"
"11","국수","사이타마현","2014-05-30","756","불검출","불검출","적합"
"12","냉면","사이타마현","2014-05-30","595.8","불검출","불검출","적합"
"13","소스류","미에현","2014-04-22","102.3","불검출","불검출","적합"
"14","탄산음료","야마구치현","2014-05-27","310.8","불검출","불검출","적합"
"15","혼합음료","후쿠이현","2014-04-08","444","불검출","불검출","적합"
"16","탄산음료","야마구치현","2014-05-17","310.8","불검출","불검출","적합"
"17","탄산음료","야마구치현","2014-05-27","310.8","불검출","불검출","적합"
"18","맥주","후쿠오카현","2014-06-10","33,600","불검출","불검출","적합"
