"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 155건","","","","547,036","","",""
"1","소스류","효고현","2017-09-28","150","불검출","불검출","적합"
"2","소스류","도치기현","2017-11-16","144","불검출","불검출","적합"
"3","소스류","히로시마현","2017-11-14","1,800","불검출","불검출","적합"
"4","수산물조림","후쿠이현","2017-10-30","17","불검출","불검출","적합"
"5","청주","교토부","2017-10-31","1,680","불검출","불검출","적합"
"6","소스류","지바현","2017-09-29","195","불검출","불검출","적합"
"7","소스류","지바현","2017-10-02","59","불검출","불검출","적합"
"8","양조간장","지바현","2017-07-04","8,424","불검출","불검출","적합"
"9","소스류","지바현","2017-09-13","62","불검출","불검출","적합"
"10","소스","군마현","2017-09-08","630","불검출","불검출","적합"
"11","빵류(케이크)","나가노현","2017-11-10","1,407","불검출","불검출","적합"
"12","양조간장","지바현","2017-08-22","10,530","불검출","불검출","적합"
"13","청주","효고현","2017-11-10","5,940","불검출","불검출","적합"
