"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 135건","","","","1,045,305","","",""
"1","청주","오카야마현","2017-11-15","60","불검출","불검출","적합"
"2","과.채가공품","후쿠오카현","2017-08-30","300","불검출","불검출","적합"
"3","기타가공품","사이타마현","2017-11-06","7","불검출","불검출","적합"
"4","소스류","후쿠오카현","2017-10-03","230","불검출","불검출","적합"
"5","소스류","후쿠오카현","2017-10-11","150","불검출","불검출","적합"
"6","청주","니가타현","2017-11-06","6,739","불검출","불검출","적합"
"7","청주","효고현","2017-09-27","43","불검출","불검출","적합"
"8","청주","훗카이도","2017-09-25","120","불검출","불검출","적합"
"9","청주","효고현","2017-11-01","238","불검출","불검출","적합"
"10","드레싱","지바현","2017-11-10","3,300","불검출","불검출","적합"
"11","곡류가공품","에히메현","2017-11-24","3,000","불검출","불검출","적합"
"12","빵류(케이크)","야마나시현","2017-11-23","86","불검출","불검출","적합"
"13","빵류(케이크)","야마나시현","2017-11-13","69","불검출","불검출","적합"
