"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","","-","-","125,189","-","-","-"
"1","활돔 참돔(
)","에히메현","2016-04-12","5,768","불검출","불검출","적합"
"2","활돔 참돔(
)","구마모토현","2016-04-12","14,454","불검출","불검출","적합"
"3","활돔 참돔(
)","에히메현","2016-04-12","9,957","불검출","불검출","적합"
"4","활돔 참돔(
)","구마모토현","2016-04-12","5,766","불검출","불검출","적합"
"5","활가리비","홋카이도","2016-04-12","7,000","불검출","불검출","적합"
"6","활장어 먹장어
(
)","나가사키현","2016-04-12","1,306","불검출","불검출","적합"
"7","냉동다랑어
(
눈다랑어 횟감
,F,
)","태평양","2016-04-12","135","불검출","불검출","적합"
"8","냉동다랑어
(
눈다랑어 목살
,
)","태평양","2016-04-12","1,795","불검출","불검출","적합"
"9","냉장명태","홋카이도","2016-04-12","2,400","불검출","불검출","적합"
"10","냉장명태","홋카이도","2016-04-12","3,564","불검출","불검출","적합"
"11","냉장홍어","홋카이도","2016-04-12","3,710","불검출","불검출","적합"
"12","활돔 돌돔(
)","미에현","2016-04-12","555","불검출","불검출","적합"
"13","활해삼","미에현","2016-04-12","1,070","불검출","불검출","적합"
"14","냉장명태","홋카이도","2016-04-12","1,824","불검출","불검출","적합"
"15","냉동가리비
(
외투막
)","홋카이도","2016-04-12","24,000","불검출","불검출","적합"
"16","냉장대구","홋카이도","2016-04-12","120","불검출","불검출","적합"
"17","냉장홍어","홋카이도","2016-04-12","578","불검출","불검출","적합"
