"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","","-","-","133,055","-","-","-"
"1","활대합 북방대합
(
)","홋카이도","2016-04-11","5,977","불검출","불검출","적합"
"2","냉동멸치","나가사키현","2016-04-11","24,750","불검출","불검출","적합"
"3","마른멸치","오이타현","2016-04-11","3,952","불검출","불검출","적합"
"4","냉장갈치","와카야마현","2016-04-11","520","불검출","불검출","적합"
"5","냉장가오리","와카야마현","2016-04-11","290","불검출","불검출","적합"
"6","냉장명태","홋카이도","2016-04-11","2,640","불검출","불검출","적합"
"7","냉장명태","홋카이도","2016-04-11","2,400","불검출","불검출","적합"
"8","냉장홍어","홋카이도","2016-04-11","3,916","불검출","불검출","적합"
"9","냉장명태","홋카이도","2016-04-11","1,296","불검출","불검출","적합"
"10","냉장가오리","에히메현","2016-04-11","480","불검출","불검출","적합"
"11","냉장명태","홋카이도","2016-04-11","2,998","불검출","불검출","적합"
"12","냉장명태","홋카이도","2016-04-11","4,354","불검출","불검출","적합"
"13","활꼬막 새꼬막
(
)","사가현","2016-04-11","1,800","불검출","불검출","적합"
"14","냉동상어
(
진환도상어
,F)","태평양","2016-04-11","3,662","불검출","불검출","적합"
"15","냉장명태","홋카이도","2016-04-11","2,400","불검출","불검출","적합"
"16","냉장명태","홋카이도","2016-04-11","9,100","불검출","불검출","적합"
"17","냉동멸치","가고시마현","2016-04-11","62,520","불검출","불검출","적합"
