"순번","품목명","제조·생산지","제조일자","수입
중량
(kg)","검사결과","",""
"","","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 116건","","","","1,356,190","","",""
"1","청주","도쿄도","2017-01-01","173","불검출","불검출","적합"
"2","혼합제제","오카야마현","2017-04-25","90","불검출","불검출","적합"
"3","혼합제제","오카야마현","2017-04-26","150","불검출","불검출","적합"
"4","혼합제제","오사카부","2017-05-11","210","불검출","불검출","적합"
"5","혼합제제","오카야마현","2017-04-24","30","불검출","불검출","적합"
"6","기타천연착향료","오사카부","2017-05-11","45","불검출","불검출","적합"
"7","혼합제제","오사카부","2017-05-11","30","불검출","불검출","적합"
"8","과자(스낵과자)","미에현","2017-04-07","1,669","불검출","불검출","적합"
"9","혼합제제","오사카부","2017-04-24","300","불검출","불검출","적합"
