"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"72","혼합제제","이바라키현","2015-01-26","720","불검출","불검출","적합"
"73","혼합제제","이바라키현","2015-01-28","405","불검출","불검출","적합"
"74","과자(스낵과자)","미에현","2015-01-27","1,123.2","불검출","불검출","적합"
"75","혼합제제","오사카부","2015-01-16","10","불검출","불검출","적합"
"76","전분가공품","효고현","2015-02-05","2,000","불검출","불검출","적합"
"77","혼합제제","효고현","2015-02-06","6,000","불검출","불검출","적합"
"78","혼합제제","효고현","2015-02-12","4,000","불검출","불검출","적합"
"79","혼합제제","효고현","2015-02-23","34","불검출","불검출","적합"
"80","혼합제제","효고현","2015-02-20","17","불검출","불검출","적합"
"81","청주","도치기현","2015-02-09","9,600","불검출","불검출","적합"
"82","청주","도치기현","2015-02-12","4,608","불검출","불검출","적합"
"83","혼합제제","효고현","2015-02-20","34","불검출","불검출","적합"
"84","혼합제제","효고현","2015-02-23","17","불검출","불검출","적합"
"85","혼합제제","효고현","2015-02-17","51","불검출","불검출","적합"
"86","청주","이바라키현","2015-02-09","713","불검출","불검출","적합"
"87","청주","이바라키현","2015-02-04","749","불검출","불검출","적합"
"88","청주","니가타현","2015-01-27","622","불검출","불검출","적합"
"89","청주","니가타현","2015-02-10","613","불검출","불검출","적합"
"90","청주","니가타현","2015-02-09","622","불검출","불검출","적합"
"91","청주","니가타현","2015-02-10","1,231","불검출","불검출","적합"
"92","로커스트콩검","도야마현","2014-10-02","2,000","불검출","불검출","적합"
"93","청주","니가타현","2015-02-11","1,285","불검출","불검출","적합"
"94","볶은커피","효고현","2015-02-27","960","불검출","불검출","적합"
"95","청주","야마가타현","2015-02-04","129.6","불검출","불검출","적합"
"96","청주","나라현","2015-02-27","86.4","불검출","불검출","적합"
"97","혼합제제","오사카부","2014-12-25","500","불검출","불검출","적합"
"98","혼합제제","오카야마현","2015-02-09","435","불검출","불검출","적합"
"99","혼합제제","오카야마현","2015-02-09","180","불검출","불검출","적합"
"100","혼합제제","오카야마현","2015-02-09","30","불검출","불검출","적합"
