"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","14건","-","-","1,816,114","-","-","-"
"1","냉동고등어","대만","2015-3-12","24,000","불검출","불검출","적합"
"2","냉동가자미(각시가자미) 러시아","","2015-3-12","23,460","불검출","불검출","적합"
"3","냉동명태(F)","러시아","2015-3-12","21,172","불검출","불검출","적합"
"4","냉동대구(머리)","미국","2015-3-12","20,034","불검출","불검출","적합"
"5","냉동명태","러시아","2015-3-12","481,729","불검출","불검출","적합"
"6","냉동명태","러시아","2015-3-12","554,808","불검출","불검출","적합"
"7","냉동대구(머리)","러시아","2015-3-12","7,515","불검출","불검출","적합"
"8","냉동다랑어(눈다랑어,목살) 대만","","2015-3-12","2,395","불검출","불검출","적합"
"9","냉동곤이(명태)","러시아","2015-3-12","9,683","불검출","불검출","적합"
"10","냉동어란(대구알)","러시아","2015-3-12","720","불검출","불검출","적합"
"11","냉동다랑어(눈다랑어,목살) 중국","","2015-3-12","570","불검출","불검출","적합"
"12","냉동상어(청상아리)","바누아투","2015-3-12","2,632","불검출","불검출","적합"
"13","냉동명태","러시아","2015-3-12","523,396","불검출","불검출","적합"
"14","냉동고등어","대만","2015-3-12","144,000","불검출","불검출","적합"
