"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:100Bq/kg)","",""
"총 133건","","","","501,157","","",""
"1","건어포","시즈오카현","2019-06-04","82","불검출","불검출","적합"
"2","혼합제제","가나가와현","2019-05-30","200","불검출","불검출","적합"
"3","소스","히로시마현","2019-05-21","615","불검출","불검출","적합"
"4","소스","히로시마현","2019-06-12","1,058","불검출","불검출","적합"
"5","소스","히로시마현","2019-06-11","7,560","불검출","불검출","적합"
"6","소스","히로시마현","2019-06-11","1,290","불검출","불검출","적합"
"7","소스","히로시마현","2019-06-04","1,237","불검출","불검출","적합"
"8","소스","히로시마현","2019-05-21","708","불검출","불검출","적합"
"9","소스","히로시마현","2019-05-24","123","불검출","불검출","적합"
"10","소스","히로시마현","2019-02-20","180","불검출","불검출","적합"
"11","소스","히로시마현","2019-05-14","330","불검출","불검출","적합"
"12","소스","히로시마현","2019-05-14","648","불검출","불검출","적합"
"13","곡류가공품","시즈오카현","2019-04-01","1,500","불검출","불검출","적합"
"14","소스","히로시마현","2019-05-30","1,584","불검출","불검출","적합"
"15","소스","아오모리현","2019-05-10","450","불검출","불검출","적합"
