"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:100Bq/kg)","",""
"총 123건","","","","1,157,219","","",""
"1","청주","나가노현","2019-04-29","120","불검출","불검출","적합"
"2","과실주","야마나시현","2019-06-06","259","불검출","불검출","적합"
"3","청주","시가현","2019-01-10","173","불검출","불검출","적합"
"4","소주","나가사키현","2019-05-15","108","불검출","불검출","적합"
"5","소주","사가현","2019-04-11","187","불검출","불검출","적합"
"6","소주","사가현","2019-05-31","187","불검출","불검출","적합"
"7","기타가공품","지바현","2019-05-20","733","불검출","불검출","적합"
"8","기타가공품","지바현","2019-06-12","46","불검출","불검출","적합"
"9","액상커피","시가현","2019-06-11","34,049","불검출","불검출","적합"
"10","소스","나가사키현","2019-06-15","643","불검출","불검출","적합"
"11","소스","나가사키현","2019-06-12","3,358","불검출","불검출","적합"
"12","소스","나가사키현","2019-06-08","7,761","불검출","불검출","적합"
"13","소스","나가사키현","2019-06-11","2,621","불검출","불검출","적합"
"14","소스","나가사키현","2019-04-28","300","불검출","불검출","적합"
"15","소스","나가사키현","2019-06-07","374","불검출","불검출","적합"
