"순 번
품목명","제조·생산지","제조일자","중량(kg)","검사결과"
"","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)"
"합계","1 건","","200",""
"1
차가버섯
러시아연방
2014-08-05
200","","","","7
불검출
적합"
