"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","106,639","-","-","-"
"1","활돔(참돔)","에히메현","2016-11-16","11,121","불검출","불검출","적합"
"2","활돔(참돔)","에히메현","2016-11-16","11,102","불검출","불검출","적합"
"3","냉장홍어","홋카이도","2016-11-16","452","불검출","불검출","적합"
"4","냉장명태","홋카이도","2016-11-16","2,500","불검출","불검출","적합"
"5","냉장명태","홋카이도","2016-11-16","2,900","불검출","불검출","적합"
"6","냉장명태","홋카이도","2016-11-16","2,900","불검출","불검출","적합"
"7","냉장갈치","후쿠오카현","2016-11-16","1,170","불검출","불검출","적합"
"8","냉장갈치","오이타현","2016-11-16","180","불검출","불검출","적합"
"9","냉장돔(황돔)","후쿠오카현","2016-11-16","75","불검출","불검출","적합"
"10","냉장민어(수조기)","야마구치현","2016-11-16","60","불검출","불검출","적합"
"11","냉장가오리","야마구치현","2016-11-16","650","불검출","불검출","적합"
"12","냉장갈치","오이타현","2016-11-16","505","불검출","불검출","적합"
"13","냉장갈치","야마구치현","2016-11-16","275","불검출","불검출","적합"
"14","냉장홍어","야마구치현","2016-11-16","430","불검출","불검출","적합"
"15","냉장갈치","오이타현","2016-11-16","1,675","불검출","불검출","적합"
"16","냉장갈치","미야자키현","2016-11-16","230","불검출","불검출","적합"
