"순번","품목명","제조·생산지","제조일자
(유통기한)","수입
중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"15","소스","히로시마현","2019-02-19","2,060","불검출","불검출","적합"
"16","소스","히로시마현","2019-02-27","2,403","불검출","불검출","적합"
"17","소스","히로시마현","2019-02-12","132","불검출","불검출","적합"
"18","발효식초","히로시마현","2019-02-15","881","불검출","불검출","적합"
"19","소스","히로시마현","2019-02-15","708","불검출","불검출","적합"
"20","복합조미식품","히로시마현","2018-11-09","200","불검출","불검출","적합"
"21","합성향료","오사카부","2019-03-14","200","불검출","불검출","적합"
"22","청주","효고현","2019-03-06","15,456","불검출","불검출","적합"
"23","청주","효고현","2019-03-15","1,728","불검출","불검출","적합"
"24","기타 주류","효고현","2018-12-04","4,212","불검출","불검출","적합"
"25","기타 주류","효고현","2018-12-04","14,321","불검출","불검출","적합"
"26","청주","효고현","2019-03-15","11,232","불검출","불검출","적합"
"27","청주","효고현","2019-03-13","15,552","불검출","불검출","적합"
"28","과당","아이치현","2019-03-18","16,000","불검출","불검출","적합"
"29","자당지방산에스테르","시가현","2019-03-05","1,000","불검출","불검출","적합"
"30","혼합제제","히로시마현","2019-02-25","120","불검출","불검출","적합"
"31","혼합제제","사이타마현","2019-03-13","234","불검출","불검출","적합"
"32","혼합제제","나가노현","2019-03-12","300","불검출","불검출","적합"
"33","혼합제제","미에현","2019-02-21","1,000","불검출","불검출","적합"
"34","혼합제제","미에현","2019-02-20","108","불검출","불검출","적합"
"35","혼합제제","히로시마현","2019-03-05","15","불검출","불검출","적합"
"36","혼합제제","이바라키현","2019-03-07","30","불검출","불검출","적합"
"37","혼합제제","오카야마현","2018-11-20","240","불검출","불검출","적합"
"38","혼합제제","효고현","2019-03-14","34","불검출","불검출","적합"
"39","혼합제제","효고현","2019-03-15","34","불검출","불검출","적합"
"40","혼합제제","효고현","2019-02-07","34","불검출","불검출","적합"
"41","곡류가공품","히로시마현","2019-03-13","23,400","불검출","불검출","적합"
"42","유탕면","이바라키현","2019-02-28","405","불검출","불검출","적합"
"43","과자","나가노현","2019-03-15","408","불검출","불검출","적합"
"44","혼합간장","사가현","2019-01-22","126","불검출","불검출","적합"
"45","건면","이바라키현","2019-02-19","222","불검출","불검출","적합"
"46","유탕면","이바라키현","2019-02-15","405","불검출","불검출","적합"
"47","건면","이바라키현","2019-03-05","186","불검출","불검출","적합"
"48","건면","이바라키현","2019-03-01","288","불검출","불검출","적합"
"49","서류가공품","돗토리현","2019-03-05","110","불검출","불검출","적합"
