"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 99건","","","","462,667","","",""
"1","합성향료","도쿄도","2018-03-07","101","불검출","불검출","적합"
"2","합성향료","도쿄도","2018-02-27","11","불검출","불검출","적합"
"3","카레(커리)","나라현","2018-01-12","600","불검출","불검출","적합"
"4","소스","히로시마현","2018-02-17","1,223","불검출","불검출","적합"
"5","소스","히로시마현","2018-02-27","7,740","불검출","불검출","적합"
"6","청주","아키타현","2018-03-12","130","불검출","불검출","적합"
"7","양조간장","오사카부","2018-03-08","840","불검출","불검출","적합"
"8","혼합제제","가나가와현","2017-07-05","460","불검출","불검출","적합"
"9","소스","히로시마현","2018-02-13","5,670","불검출","불검출","적합"
"10","소스","히로시마현","2018-02-07","660","불검출","불검출","적합"
"11","소스","히로시마현","2018-02-15","2,790","불검출","불검출","적합"
"12","소스","히로시마현","2018-02-09","123","불검출","불검출","적합"
"13","소스","히로시마현","2018-03-08","1,290","불검출","불검출","적합"
