"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 159건","","","","338,332","","",""
"1","청주","니가타현","2018-02-27","5,580","불검출","불검출","적합"
"2","초콜릿가공품","후쿠오카현","2018-03-06","2,646","불검출","불검출","적합"
"3","과자","니가타현","2018-02-24","1,097","불검출","불검출","적합"
"4","소스","가나가와현","2018-03-06","488","불검출","불검출","적합"
"5","청주","아이치현","2018-02-05","432","불검출","불검출","적합"
"6","소스","가나가와현","2018-03-06","1,679","불검출","불검출","적합"
"7","혼합제제","시가현","2018-03-19","25","불검출","불검출","적합"
"8","혼합제제","시가현","2018-03-19","50","불검출","불검출","적합"
"9","혼합제제","시가현","2018-03-22","25","불검출","불검출","적합"
"10","혼합음료","효고현","2018-02-27","5,040","불검출","불검출","적합"
"11","혼합제제","시가현","2018-03-27","175","불검출","불검출","적합"
"12","혼합제제","시가현","2018-03-22","25","불검출","불검출","적합"
"13","혼합제제","시가현","2018-03-19","25","불검출","불검출","적합"
