"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"1","냉동상어(청상아리)","대만","2018-04-06","27,460","2","불검출","적합"
"2","냉동가자미(각시가자미)","러시아","2018-04-06","22,050","불검출","불검출","적합"
"3","냉동명태(F)","러시아","2018-04-06","20,440","불검출","불검출","적합"
"4","냉동대구(F)","러시아","2018-04-06","10,000","불검출","불검출","적합"
"합계","","-","-","79,950","-","-","-"
