"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 129건","","","","615,025","","",""
"1","혼합제제","사이타마현","2017-05-10","100","불검출","불검출","적합"
"2","혼합제제","사이타마현","2017-05-12","144","불검출","불검출","적합"
"3","혼합제제","오사카부","2017-05-29","90","불검출","불검출","적합"
"4","청주","야마가타현","2017-05-18","648","불검출","불검출","적합"
"5","청주","이와테현","2017-05-24","86","불검출","불검출","적합"
"6","청주","아키타현","2017-02-23","45","불검출","불검출","적합"
"7","청주","이와테현","2017-05-15","60","불검출","불검출","적합"
"8","청주","이와테현","2017-05-24","36","불검출","불검출","적합"
"9","혼합제제","지바현","2017-05-23","96","불검출","불검출","적합"
"10","혼합제제","지바현","2017-05-26","401","불검출","불검출","적합"
"11","혼합제제","지바현","2017-05-16","156","불검출","불검출","적합"
"12","혼합제제","지바현","2017-05-23","31","불검출","불검출","적합"
"13","청주","이와테현","2017-06-01","86","불검출","불검출","적합"
