"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 104건","","","","980,394","","",""
"1","액상차","시즈오카현","2017-05-13","780","불검출","불검출","적합"
"2","액상차","미에현","2017-05-24","780","불검출","불검출","적합"
"3","기타가공품","기후현","2017-05-26","190","불검출","불검출","적합"
"4","가르시니아
캄보지아추출물","시즈오카현","2017-05-16","946","불검출","불검출","적합"
"5","소스류","가나가와현","(2017-11-18)","762","불검출","불검출","적합"
"6","청국장","도쿄도","2017-05-01","1,649","불검출","불검출","적합"
"7","소스류","가나가와현","(2018-05-19)","257","불검출","불검출","적합"
"8","청국장","도쿄도","2017-05-11","1,353","불검출","불검출","적합"
"9","캔디류(젤리)","후쿠오카현","2017-05-10","7,110","불검출","불검출","적합"
"10","캔디류(젤리)","후쿠오카현","2017-05-17","7,110","불검출","불검출","적합"
"11","청주","후쿠오카현","2017-06-01","173","불검출","불검출","적합"
"12","청주","후쿠오카현","2017-06-01","130","불검출","불검출","적합"
