"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","99건","","226,372","","",""
"1","식물성크림","구마모토현","2014-06-02","38.4","불검출","불검출","적합"
"2","식물성크림","구마모토현","2014-05-29","48","불검출","불검출","적합"
"3","드레싱","사가현","2014-06-20","7,200","불검출","불검출","적합"
"4","소스류","교토부","2014-06-20","30.6","불검출","불검출","적합"
"5","소스류","사가현","2014-03-13","180","불검출","불검출","적합"
"6","소스류","교토부","2014-06-28","6,709.5","불검출","불검출","적합"
"7","카레","나라현","2014-06-13","600","불검출","불검출","적합"
"8","소스류","히로시마현","2014-06-20","1,221.6","불검출","불검출","적합"
"9","소스류","히로시마현","2014-06-17","3,780","불검출","불검출","적합"
"10","소스류","히로시마현","2014-06-19","1,980","불검출","불검출","적합"
"11","소스류","히로시마현","2014-06-12","2,664","불검출","불검출","적합"
"12","소스류","히로시마현","2014-06-06","655.5","불검출","불검출","적합"
"13","곡류가공품","지바현","2014-05-19","90","불검출","불검출","적합"
"14","건어포류","오사카부","2014-06-11","700","불검출","불검출","적합"
"15","건어포류","오사카부","2014-06-11","500","불검출","불검출","적합"
"16","떡류","군마현","2014-05-29","163.8","불검출","불검출","적합"
"17","떡류","군마현","2014-06-05","764.4","불검출","불검출","적합"
"18","떡류","군마현","2014-05-24","109.2","불검출","불검출","적합"
