"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건21","-","-","81,264","-","-","-"
"1","활방어","나가사키현","2016-02-05","3,661","불검출","불검출","적합"
"2","활가리비","홋카이도","2016-02-05","6,300","불검출","불검출","적합"
"3","활가리비","홋카이도","2016-02-05","6,200","불검출","불검출","적합"
"4","활돔 벵에돔
(
)","사가현","2016-02-05","1,492","불검출","불검출","적합"
"5","활꼬막","후쿠오카현","2016-02-05","2,100","불검출","불검출","적합"
"6","냉장돔 황돔(
)","나가사키현","2016-02-05","500","불검출","불검출","적합"
"7","활우렁쉥이","홋카이도","2016-02-05","7,472","불검출","불검출","적합"
"8","활가리비","홋카이도","2016-02-05","7,110","불검출","불검출","적합"
"9","활우렁쉥이","홋카이도","2016-02-05","8,975","불검출","불검출","적합"
"10","활가리비","홋카이도","2016-02-05","7,310","불검출","불검출","적합"
"11","냉장명태","홋카이도","2016-02-05","5,408","불검출","불검출","적합"
"12","냉장명태","홋카이도","2016-02-05","1,440","불검출","불검출","적합"
"13","냉장명태","홋카이도","2016-02-05","5,408","불검출","불검출","적합"
"14","냉장명태","홋카이도","2016-02-05","1,440","불검출","불검출","적합"
"15","냉장홍어","홋카이도","2016-02-05","158","불검출","불검출","적합"
"16","활가리비","홋카이도","2016-02-05","5,701","불검출","불검출","적합"
