"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","392,127.2","-","-","-"
"1","냉동꽁치","대만","2017-01-13","52,815","불검출","불검출","적합"
"2","냉동꽁치","대만","2017-01-13","12,545","불검출","불검출","적합"
"3","냉동꽁치","대만","2017-01-13","44,180","불검출","불검출","적합"
"4","냉동꽁치","대만","2017-01-13","114,220","불검출","불검출","적합"
"5","냉동꽁치","대만","2017-01-13","22,648","불검출","불검출","적합"
"6","냉동꽁치","대만","2017-01-13","45,930","불검출","불검출","적합"
"7","냉동명태","러시아","2017-01-13","5,004","불검출","불검출","적합"
"8","냉동명태(F)","러시아","2017-01-13","12,180","불검출","불검출","적합"
"9","냉동꽁치","대만","2017-01-13","45,525.2","불검출","불검출","적합"
"10","냉동명태(F)","러시아","2017-01-13","9,280","불검출","불검출","적합"
"11","냉동가자미
(각시가자미)","러시아","2017-01-13","4,800","불검출","불검출","적합"
"12","냉동가자미
(각시가자미)","러시아","2017-01-13","23,000","불검출","불검출","적합"
