"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","99,436.7","-","-","-"
"1","활우렁쉥이","홋카이도","2017-01-12","8,870","불검출","불검출","적합"
"2","냉장홍어","홋카이도","2017-01-12","506","불검출","불검출","적합"
"3","냉동다랑어
(눈다랑어,F,횟감)","태평양","2017-01-12","2,169.7","불검출","불검출","적합"
"4","냉동다랑어
(눈다랑어,목살,횟감)","태평양","2017-01-12","1,040","불검출","불검출","적합"
"5","냉장돔(참돔)","나가사키현","2017-01-12","1,672","불검출","불검출","적합"
"6","냉장돔(황돔)","나가사키현","2017-01-12","720","불검출","불검출","적합"
"7","냉장홍어","야마구치현","2017-01-12","100","불검출","불검출","적합"
"8","냉장명태","홋카이도","2017-01-12","8,501","불검출","불검출","적합"
"9","냉장홍어","홋카이도","2017-01-12","3,737","불검출","불검출","적합"
"10","냉장갈치","에히메현","2017-01-12","136","불검출","불검출","적합"
"11","냉장갈치","효고현","2017-01-12","424","불검출","불검출","적합"
"12","냉장준치","구마모토현","2017-01-12","294","불검출","불검출","적합"
"13","냉장명태","홋카이도","2017-01-12","3,160","불검출","불검출","적합"
"14","냉장명태","홋카이도","2017-01-12","3,000","불검출","불검출","적합"
"15","냉장돔(황돔)","후쿠오카현","2017-01-12","220","불검출","불검출","적합"
"16","냉장돔(참돔)","후쿠오카현","2017-01-12","400","불검출","불검출","적합"
