"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","1,702,530","-","-","-"
"1","냉동새우
(북쪽분홍새우,자숙)","그린랜드","2017-01-12","50","불검출","불검출","적합"
"2","냉동명태(F)","러시아","2017-01-12","23,600","불검출","불검출","적합"
"3","냉동명태","러시아","2017-01-12","823,343","불검출","불검출","적합"
"4","냉동꽁치","대만","2017-01-12","69,956","불검출","불검출","적합"
"5","냉동명태","러시아","2017-01-12","474,333","불검출","불검출","적합"
"6","냉동꽁치","대만","2017-01-12","35,245","불검출","불검출","적합"
"7","냉동가자미
(각시가자미)","러시아","2017-01-12","22,500","불검출","불검출","적합"
"8","냉동꽁치","대만","2017-01-12","35,100","불검출","불검출","적합"
"9","냉동꽁치","대만","2017-01-12","109,823","불검출","불검출","적합"
"10","냉동꽁치","대만","2017-01-12","18,470","불검출","불검출","적합"
"11","냉동명태(F)","러시아","2017-01-12","23,625","불검출","불검출","적합"
"12","냉동대구(F)","러시아","2017-01-12","960","불검출","불검출","적합"
"13","냉동꽁치","대만","2017-01-12","29,665","불검출","불검출","적합"
"14","냉동대구(F)","러시아","2017-01-12","13,360","불검출","불검출","적합"
"15","냉동가자미
(각시가자미)","러시아","2017-01-12","22,500","불검출","불검출","적합"
