"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"17","냉장병어","후쿠오카현","2017-01-12","945","불검출","불검출","적합"
"18","냉장홍어","홋카이도","2017-01-12","1,444","불검출","불검출","적합"
"19","냉장갈치","오이타현","2017-01-12","510","불검출","불검출","적합"
"20","냉장가오리","야마구치현","2017-01-12","720","불검출","불검출","적합"
"21","냉장돔(황돔)","야마구치현","2017-01-12","400","불검출","불검출","적합"
"22","냉장돔(참돔)","야마구치현","2017-01-12","145","불검출","불검출","적합"
"23","냉장갈치","오이타현","2017-01-12","35","불검출","불검출","적합"
"24","냉장갈치","후쿠오카현","2017-01-12","433","불검출","불검출","적합"
"25","냉장가오리","야마구치현","2017-01-12","230","불검출","불검출","적합"
"26","냉장가오리","에히메현","2017-01-12","420","불검출","불검출","적합"
"27","냉장대구","홋카이도","2017-01-12","2,550","불검출","불검출","적합"
"28","냉장명태","홋카이도","2017-01-12","4,250","불검출","불검출","적합"
"29","냉장명태","홋카이도","2017-01-12","712","불검출","불검출","적합"
"30","냉장명태","홋카이도","2017-01-12","2,208","불검출","불검출","적합"
"31","활꼬막","후쿠오카현","2017-01-12","420","불검출","불검출","적합"
"32","냉장갈치","에히메현","2017-01-12","560","불검출","불검출","적합"
"33","냉장명태","홋카이도","2017-01-12","2,220","불검출","불검출","적합"
"34","냉장명태","홋카이도","2017-01-12","1,434","불검출","불검출","적합"
