"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","76,580","-","-","-"
"1","활우렁쉥이","홋카이도","2017-01-16","7,000","불검출","불검출","적합"
"2","활우렁쉥이","홋카이도","2017-01-16","8,000","불검출","불검출","적합"
"3","활우렁쉥이","홋카이도","2017-01-16","8,000","불검출","불검출","적합"
"4","활우렁쉥이","홋카이도","2017-01-16","8,662","불검출","불검출","적합"
"5","냉장명태","홋카이도","2017-01-16","1,500","불검출","불검출","적합"
"6","냉장갈치","야마구치현","2017-01-16","330","불검출","불검출","적합"
"7","냉장돔(참돔)","나가사키현","2017-01-16","144","불검출","불검출","적합"
"8","냉장돔(참돔)","야마구치현","2017-01-16","150","불검출","불검출","적합"
"9","냉장가오리","야마구치현","2017-01-16","1,160","불검출","불검출","적합"
"10","냉장돔(황돔)","나가사키현","2017-01-16","584","불검출","불검출","적합"
"11","냉장명태","홋카이도","2017-01-16","1,000","불검출","불검출","적합"
"12","활꼬막(새꼬막)","사가현","2017-01-16","400","불검출","불검출","적합"
"13","냉장홍어","홋카이도","2017-01-16","1,977","불검출","불검출","적합"
"14","냉장명태","홋카이도","2017-01-16","3,850","불검출","불검출","적합"
"15","냉장홍어","홋카이도","2017-01-16","2,698","불검출","불검출","적합"
"16","냉장홍어","홋카이도","2017-01-16","6,126","불검출","불검출","적합"
