"순번","품목명","제조·생산지","제조일자
(유통기한)","수입
중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"117","카레(커리)","도치기현","2018-10-05","7,866","불검출","불검출","적합"
"118","과자","히로시마현","2019-01-31","1,230","불검출","불검출","적합"
"119","과자","히로시마현","2019-02-02","1,500","불검출","불검출","적합"
"120","청주","효고현","2019-01-15","112","불검출","불검출","적합"
"121","절임식품","도치기현","2019-01-23","150","불검출","불검출","적합"
"122","절임식품","사이타마현","2019-01-23","300","불검출","불검출","적합"
"123","청주","교토부","2019-01-25","864","불검출","불검출","적합"
"124","청주","니가타현","2019-01-05","432","불검출","불검출","적합"
"125","카레(커리)","나라현","2018-12-19","2,000","불검출","불검출","적합"
"126","캔디류","아이치현","2019-01-17","1,296","불검출","불검출","적합"
"127","캔디류","도쿄도","2019-01-18","165","불검출","불검출","적합"
"128","캔디류","도쿄도","2019-01-16","161","불검출","불검출","적합"
"129","과자","니가타현","2019-01-17","504","불검출","불검출","적합"
"130","소스","에히메현","2018-12-25","1,800","불검출","불검출","적합"
"131","소스","에히메현","2019-01-11","540","불검출","불검출","적합"
"132","캔디류","효고현","2019-01-29","312","불검출","불검출","적합"
"133","과자","이바라키현","2019-01-22","8,832","불검출","불검출","적합"
"134","초콜릿가공품","이바라키현","2019-01-14","2,346","불검출","불검출","적합"
"135","초콜릿가공품","이바라키현","2019-01-15","6,768","불검출","불검출","적합"
"136","곡류가공품","가나가와현","2019-01-19","107","불검출","불검출","적합"
"137","캔디류","가나가와현","2018-12-24","302","불검출","불검출","적합"
"138","카레(커리)","나가노현","2018-11-01","2,233","불검출","불검출","적합"
"139","소스","도치기현","2018-12-10","12,355","불검출","불검출","적합"
"140","캔디류","오사카부","2018-12-20","2,000","불검출","불검출","적합"
"141","빵류","사이타마현","2019-01-25","11,232","불검출","불검출","적합"
"142","혼합제제","시즈오카현","2019-01-29","30","불검출","불검출","적합"
"143","혼합제제","효고현","2019-01-30","17","불검출","불검출","적합"
"144","맥주","오이타현","2019-01-31","80,623","불검출","불검출","적합"
"145","맥주","오이타현","2019-01-30","33,120","불검출","불검출","적합"
"146","볶은커피","미에현","2018-12-01","67","불검출","불검출","적합"
"147","소스","군마현","2019-01-08","1,180","불검출","불검출","적합"
"148","초콜릿가공품","효고현","2018-11-19","69","불검출","불검출","적합"
"149","액상차","나가노현","2019-01-01","2,400","불검출","불검출","적합"
"150","액상차","시가현","2019-01-01","4,200","불검출","불검출","적합"
"151","위스키","오사카부","2018-12-25","12,197","불검출","불검출","적합"
