"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"1","활방어","에히메현","2019-02-26","4,853","불검출","불검출","적합"
"2","활가리비","홋카이도","2019-02-26","7,211","불검출","불검출","적합"
"3","활가리비","홋카이도","2019-02-26","6,488","불검출","불검출","적합"
"4","냉동다랑어(눈다랑어,F,횟감)","대서양","2019-02-26","1,549","불검출","불검출","적합"
"5","활대합(북방대합)","홋카이도","2019-02-26","5,297","불검출","불검출","적합"
"6","활대합(북방대합)","홋카이도","2019-02-26","2,000","불검출","불검출","적합"
"7","활방어","에히메현","2019-02-26","1,944","불검출","불검출","적합"
"8","냉장갈치","야마구치현","2019-02-26","144","불검출","불검출","적합"
"9","냉장명태","홋카이도","2019-02-26","2,418","불검출","불검출","적합"
"10","냉장명태","홋카이도","2019-02-26","312","불검출","불검출","적합"
"11","활가리비","홋카이도","2019-02-26","7,818","불검출","불검출","적합"
"12","활돔(참돔)","에히메현","2019-02-26","1,438","불검출","불검출","적합"
"13","활방어","에히메현","2019-02-26","3,980","불검출","불검출","적합"
"14","활방어","에히메현","2019-02-26","1,953","불검출","불검출","적합"
"15","냉장명태","홋카이도","2019-02-26","2,640","불검출","불검출","적합"
"16","냉장명태","홋카이도","2019-02-26","1,300","불검출","불검출","적합"
"17","냉장명태","홋카이도","2019-02-26","2,630","불검출","불검출","적합"
"18","냉장명태","홋카이도","2019-02-26","1,144","불검출","불검출","적합"
"19","냉장명태","홋카이도","2019-02-26","1,300","불검출","불검출","적합"
"20","활가리비","홋카이도","2019-02-26","6,978","불검출","불검출","적합"
